       est.beta   est.upper  est.lower   alpha
1    8.13696106  9.28261622  6.9913059   0.001
2   -0.13996410 -0.12531935 -0.1546088   0.001
3   -3.96120403 -3.05619933 -4.8662087   0.001
4   -0.45735652  0.10316755 -1.0178806   0.001
5    0.58461313  1.51321266 -0.3439864   0.001
6   -0.05606949  0.56215286 -0.6742918   0.001
7    8.12366738  9.26247932  6.9848554   0.010
8   -0.13959879 -0.12277032 -0.1564273   0.010
9   -3.95768619 -3.11715997 -4.7982124   0.010
10  -0.45307979  0.10885394 -1.0150135   0.010
11   0.59344672  1.53694404 -0.3500506   0.010
12  -0.05317573  0.56342666 -0.6697781   0.010
13   8.14080713  9.36708452  6.9145297   0.050
14  -0.14162261 -0.12582009 -0.1574251   0.050
15  -3.97312822 -3.07510042 -4.8711560   0.050
16  -0.45463140  0.12579926 -1.0350621   0.050
17   0.59783998  1.56111194 -0.3654320   0.050
18  -0.04673988  0.56593448 -0.6594142   0.050
19   8.14516985  9.26684159  7.0234981   0.100
20  -0.14075266 -0.12729619 -0.1542091   0.100
21  -3.97158320 -3.11102640 -4.8321400   0.100
22  -0.45429148  0.10735143 -1.0159344   0.100
23   0.59024252  1.53173075 -0.3512457   0.100
24  -0.05775849  0.56895934 -0.6844763   0.100
25   8.14270997  9.33366418  6.9517558   0.500
26  -0.14081775 -0.09986960 -0.1817659   0.500
27  -3.96440071 -3.02901784 -4.8997836   0.500
28  -0.45586549  0.12870484 -1.0404358   0.500
29   0.58811170  1.58673126 -0.4105079   0.500
30  -0.05586579  0.59259619 -0.7043278   0.500
31   8.12289467  9.53625424  6.7095351   1.000
32  -0.13865223 -0.10534957 -0.1719549   1.000
33  -3.96110030 -2.65105784 -5.2711428   1.000
34  -0.45403080  0.12368103 -1.0317426   1.000
35   0.59465099  1.51413251 -0.3248305   1.000
36  -0.05582896  0.55421384 -0.6658718   1.000
37   8.14179056  9.33133524  6.9522459   2.000
38  -0.14021754 -0.12634499 -0.1540901   2.000
39  -3.97230491 -3.12049395 -4.8241159   2.000
40  -0.45705824  0.12139295 -1.0355094   2.000
41   0.58756950  1.56176549 -0.3866265   2.000
42  -0.05049167  0.58551026 -0.6864936   2.000
43   8.13587582  9.30294385  6.9688078   4.000
44  -0.14186820 -0.12448479 -0.1592516   4.000
45  -3.96767373 -3.11140701 -4.8239404   4.000
46  -0.45582018  0.25148367 -1.1631240   4.000
