"","beta0","beta1","beta2","beta3","sigma","d11","d12","d22","nu","alpha00","alpha01","alpha1","alpha2"
"IM SE",0.288,0.214,0.408,0.286,0.118,0.295,0.15,0.139,21.637,41.242,571.178,0.341,0.52
"MC Sd",0.308,0.209,0.405,0.295,0.135,0.223,0.118,0.146,27.568,2.776,6.206,0.185,0.407
"IM SE",0.201,0.146,0.287,0.202,0.086,0.202,0.102,0.098,4.878,1.095,14.376,0.209,0.288
"MC Sd",0.212,0.146,0.295,0.216,0.093,0.155,0.094,0.095,7.619,1.398,1.965,0.12,0.25
"IM SE",0.138,0.101,0.195,0.138,0.06,0.134,0.067,0.065,1.537,0.72,0.489,0.14,0.19
"MC Sd",0.12,0.105,0.201,0.155,0.06,0.126,0.065,0.059,1.891,0.706,0.489,0.092,0.134
"IM SE",0.098,0.073,0.139,0.099,0.042,0.095,0.048,0.046,0.951,0.507,0.331,0.096,0.131
"MC Sd",0.095,0.077,0.132,0.096,0.044,0.085,0.047,0.05,0.918,0.556,0.306,0.058,0.093
"IM SE",0.069,0.051,0.097,0.069,0.03,0.066,0.034,0.032,0.63,0.348,0.234,0.067,0.089
"MC Sd",0.068,0.047,0.091,0.066,0.031,0.065,0.034,0.03,0.655,0.304,0.226,0.042,0.055
"IM SE",0.3,0.256,0.419,0.333,0.142,0.338,0.184,0.192,43.4,1.454,0.841,0.241,0.396
"MC Sd",0.327,0.313,0.416,0.38,0.15,0.277,0.138,0.188,26.152,1.533,0.766,0.148,0.349
"IM SE",0.203,0.167,0.287,0.219,0.092,0.209,0.113,0.11,4.838,0.855,0.523,0.157,0.233
"MC Sd",0.215,0.177,0.301,0.251,0.097,0.187,0.09,0.109,5.913,0.883,0.571,0.098,0.178
"IM SE",0.144,0.122,0.203,0.16,0.068,0.147,0.081,0.082,1.681,0.549,0.349,0.101,0.143
"MC Sd",0.144,0.131,0.213,0.161,0.069,0.157,0.083,0.077,1.626,0.593,0.335,0.065,0.118
"IM SE",0.101,0.084,0.141,0.11,0.047,0.1,0.055,0.055,1.019,0.379,0.244,0.072,0.099
"MC Sd",0.095,0.084,0.145,0.092,0.047,0.11,0.062,0.056,1.106,0.381,0.236,0.042,0.082
"IM SE",0.072,0.059,0.1,0.077,0.033,0.071,0.038,0.038,0.684,0.262,0.17,0.05,0.067
"MC Sd",0.079,0.061,0.099,0.077,0.039,0.073,0.041,0.033,0.876,0.258,0.168,0.032,0.05
"IM SE",0.314,0.357,0.442,0.424,0.181,0.383,0.257,0.296,58.135,1.374,0.766,0.22,0.402
"MC Sd",0.362,0.375,0.495,0.44,0.184,0.309,0.22,0.265,43.384,1.634,0.839,0.152,0.397
"IM SE",0.212,0.226,0.298,0.277,0.123,0.232,0.148,0.164,12.861,0.795,0.466,0.143,0.224
"MC Sd",0.219,0.249,0.298,0.286,0.13,0.254,0.125,0.17,18.64,0.828,0.435,0.091,0.197
"IM SE",0.149,0.152,0.209,0.187,0.081,0.162,0.1,0.106,3.148,0.527,0.314,0.097,0.146
"MC Sd",0.151,0.171,0.211,0.195,0.08,0.174,0.098,0.098,5.518,0.563,0.278,0.075,0.123
"IM SE",0.105,0.111,0.147,0.134,0.06,0.112,0.07,0.076,1.355,0.355,0.218,0.066,0.097
"MC Sd",0.102,0.11,0.148,0.135,0.07,0.099,0.058,0.078,1.911,0.395,0.214,0.052,0.096
"IM SE",0.074,0.077,0.103,0.094,0.041,0.078,0.048,0.052,0.815,0.247,0.151,0.045,0.066
"MC Sd",0.065,0.084,0.091,0.108,0.045,0.072,0.051,0.049,0.947,0.296,0.164,0.031,0.068
