"","LME","tLME","LME","tLME","LME","tLME"
"AIC",477.755,460.396,426.47,415.035,363.549,353.397
"Freq",1,99,0,100,2,98
"BIC",492.382,476.241,441.096,430.88,378.175,369.242
"Freq",3,97,1,99,5,95
"AIC",930.425,895.449,856.506,828.356,724.696,701.093
"Freq",0,100,0,100,0,100
"BIC",953.369,920.305,879.45,853.212,747.64,725.949
"Freq",0,100,0,100,0,100
"AIC",1850.914,1779.669,1693.077,1628.182,1448.672,1392.823
"Freq",0,100,0,100,0,100
"BIC",1882.176,1813.537,1724.34,1662.049,1479.934,1426.69
"Freq",0,100,0,100,0,100
"AIC",3710.9,3546.342,3403.781,3262.101,2870.122,2752.889
"Freq",0,100,0,100,0,100
"BIC",3750.48,3589.22,3443.361,3304.979,2909.702,2795.767
"Freq",0,100,0,100,0,100
"AIC",7413.972,7085.028,6769.803,6484.766,5720.86,5477.418
"Freq",0,100,0,100,0,100
"BIC",7436.916,7109.885,6792.747,6509.623,5743.805,5502.274
"Freq",0,100,0,100,0,100
