"","LME","tLME","LME","tLME","LME","tLME","LME","tLME"
"m",11,12,12,13,12,13,12,13
"ell_max",-4584.6220333722,-4429.55512852022,-4585.95358594619,-4416.908,-4594.11734483974,-4415.35846977298,-4522.14774332433,-4415.00827282632
"AIC",9191.24406674439,8883.11025704043,9195.90717189239,8859.816,9212.23468967948,8856.71693954596,9068.29548664865,8856.01654565265
"BIC",9236.85368857875,8932.86620813246,9245.66312298441,8913.7182803497,9261.99064077151,8910.61921989565,9118.05143774068,8909.91882600234
"m",13,14,14,15,14,15,14,15
"ell_max",-4577.22885890647,-4420.1186279848,-4576.46021576195,-4407.414,-4584.51987152748,-4405.86437381822,-4512.79443728992,-4405.51642288287
"AIC",9180.45771781293,8868.23725596959,9180.92043152389,8844.828,9197.03974305496,8841.72874763645,9053.58887457985,8841.03284576574
"BIC",9234.35999816263,8926.28586557696,9238.96904113126,8907.02293886503,9255.08835266232,8903.92368650148,9111.63748418721,8903.22778463077
"m",14,15,15,16,15,16,15,16
"ell_max",-4505.18078124096,-4201.40912382366,-4254.55192619032,-4202.146,-4311.52254306099,-4189.35613009275,-4251.98813777049,-4183.03803858121
"AIC",9038.36156248192,8432.81824764732,8539.10385238064,8436.292,8653.04508612198,8410.7122601855,8533.97627554098,8398.07607716241
"BIC",9096.41017208929,8495.01318651235,8601.29879124568,8502.6332681227,8715.24002498701,8477.0535283082,8596.17121440601,8464.41734528511
